error_rate,continuation_probability,replicate,root_seed,trials,max_rounds,mean_match_length,settled_generation,n_survivors,cooperation_rate,mean_payoff,non_defector_share,share_Always_Cooperate,share_Always_Defect,share_Tit-for-Tat,share_Tit-for-Two-Tats,share_Two-Tits-for-Tat,share_Grim_Trigger,share_Generous_TFT,share_Contrite_TFT,share_Pavlov,share_Suspicious_TFT,share_Prober,share_Gradual,share_Soft_Majority,share_Random,share_Alternator,survivors
0.12,0.5,2,20260904,800,14,1.9973,5601,2,0.299118,1.817758,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.839742,0.000000,0.000000,0.000000,0.000000,0.160258,"Suspicious TFT;Alternator"
0.12,0.5,3,20260905,800,14,1.9926,1047,1,0.116700,1.334977,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.12,0.5,4,20260906,800,14,2.0016,1349,1,0.122284,1.353197,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.14,0.5,0,20260902,800,14,2.0026,994,1,0.131692,1.382154,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.14,0.5,1,20260903,800,14,1.9999,771,1,0.144845,1.418090,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.14,0.5,2,20260904,800,14,1.9973,11967,2,0.297018,1.810480,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.873149,0.000000,0.000000,0.000000,0.000000,0.126851,"Suspicious TFT;Alternator"
0.14,0.5,3,20260905,800,14,1.9926,837,1,0.136752,1.390533,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.14,0.5,4,20260906,800,14,2.0016,1156,1,0.142768,1.410925,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.16,0.5,0,20260902,800,14,2.0026,898,1,0.153846,1.441846,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.16,0.5,1,20260903,800,14,1.9999,935,1,0.163188,1.466161,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
