error_rate,continuation_probability,replicate,root_seed,trials,max_rounds,mean_match_length,settled_generation,n_survivors,cooperation_rate,mean_payoff,non_defector_share,share_Always_Cooperate,share_Always_Defect,share_Tit-for-Tat,share_Grim_Trigger,share_Random,share_Pavlov,share_Tit-for-Two-Tats,survivors
0.04,0.6,3,20260905,800,19,2.5029,129,1,0.039578,1.117678,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.04,0.6,4,20260906,800,19,2.4911,146,1,0.038100,1.112815,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.06,0.6,0,20260902,800,19,2.5033,144,1,0.061119,1.179921,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.06,0.6,1,20260903,800,19,2.4905,134,1,0.066719,1.196994,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.06,0.6,2,20260904,800,19,2.4914,140,1,0.059082,1.171875,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.06,0.6,3,20260905,800,19,2.5029,134,1,0.060158,1.177309,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.06,0.6,4,20260906,800,19,2.4911,154,1,0.053934,1.159327,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.08,0.6,0,20260902,800,19,2.5033,144,1,0.081738,1.240304,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.08,0.6,1,20260903,800,19,2.4905,140,1,0.085443,1.250000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.08,0.6,2,20260904,800,19,2.4914,145,1,0.075439,1.218018,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.08,0.6,3,20260905,800,19,2.5029,146,1,0.083113,1.243536,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.08,0.6,4,20260906,800,19,2.4911,153,1,0.076942,1.225383,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.1,0.6,0,20260902,800,19,2.5033,144,1,0.101620,1.296514,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.1,0.6,1,20260903,800,19,2.4905,140,1,0.106804,1.308808,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.1,0.6,2,20260904,800,19,2.4914,148,1,0.098633,1.284180,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.1,0.6,3,20260905,800,19,2.5029,157,1,0.102375,1.296042,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.1,0.6,4,20260906,800,19,2.4911,160,1,0.102672,1.298120,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.12,0.6,0,20260902,800,19,2.5033,149,1,0.118802,1.344134,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.12,0.6,1,20260903,800,19,2.4905,149,1,0.129219,1.373945,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.12,0.6,2,20260904,800,19,2.4914,160,1,0.120605,1.343262,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.12,0.6,3,20260905,800,19,2.5029,163,1,0.118997,1.342744,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.12,0.6,4,20260906,800,19,2.4911,164,1,0.120980,1.349579,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.14,0.6,0,20260902,800,19,2.5033,161,1,0.133530,1.384880,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.14,0.6,1,20260903,800,19,2.4905,163,1,0.146361,1.421677,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.14,0.6,2,20260904,800,19,2.4914,170,1,0.138672,1.391113,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.14,0.6,3,20260905,800,19,2.5029,168,1,0.138522,1.397625,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.14,0.6,4,20260906,800,19,2.4911,169,1,0.139535,1.401781,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.16,0.6,0,20260902,800,19,2.5033,177,1,0.156112,1.446244,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.16,0.6,1,20260903,800,19,2.4905,181,1,0.164821,1.470728,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.16,0.6,2,20260904,800,19,2.4914,177,1,0.157471,1.442139,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.16,0.6,3,20260905,800,19,2.5029,185,1,0.158311,1.448549,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.16,0.6,4,20260906,800,19,2.4911,179,1,0.158832,1.455220,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.18,0.6,0,20260902,800,19,2.5033,182,1,0.177958,1.504418,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.18,0.6,1,20260903,800,19,2.4905,196,1,0.183544,1.520570,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.18,0.6,2,20260904,800,19,2.4914,182,1,0.177734,1.495117,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.18,0.6,3,20260905,800,19,2.5029,200,1,0.177836,1.501319,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.18,0.6,4,20260906,800,19,2.4911,198,1,0.174419,1.496536,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.2,0.6,0,20260902,800,19,2.5033,192,1,0.195631,1.549092,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.2,0.6,1,20260903,800,19,2.4905,206,1,0.200158,1.565137,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.2,0.6,2,20260904,800,19,2.4914,199,1,0.193848,1.536133,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.2,0.6,3,20260905,800,19,2.5029,222,1,0.197889,1.553562,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.2,0.6,4,20260906,800,19,2.4911,199,1,0.193963,1.548243,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0,0.7,0,20260902,800,26,3.3402,221,5,1.000000,3.000000,1.000000,0.000955,0.000000,0.399287,0.495396,0.000000,0.045521,0.058842,"Always Cooperate;Tit-for-Tat;Grim Trigger;Pavlov;Tit-for-Two-Tats"
0,0.7,1,20260903,800,26,3.3123,200,5,1.000000,3.000000,1.000000,0.001054,0.000000,0.401863,0.498729,0.000000,0.045592,0.052763,"Always Cooperate;Tit-for-Tat;Grim Trigger;Pavlov;Tit-for-Two-Tats"
0,0.7,2,20260904,800,26,3.3015,221,5,1.000000,3.000000,1.000000,0.001881,0.000000,0.408380,0.461649,0.000000,0.060577,0.067513,"Always Cooperate;Tit-for-Tat;Grim Trigger;Pavlov;Tit-for-Two-Tats"
0,0.7,3,20260905,800,26,3.3178,207,5,1.000000,3.000000,1.000000,0.001785,0.000000,0.347307,0.511843,0.000000,0.060776,0.078289,"Always Cooperate;Tit-for-Tat;Grim Trigger;Pavlov;Tit-for-Two-Tats"
0,0.7,4,20260906,800,26,3.3279,209,5,1.000000,3.000000,1.000000,0.002114,0.000000,0.349348,0.513780,0.000000,0.061224,0.073535,"Always Cooperate;Tit-for-Tat;Grim Trigger;Pavlov;Tit-for-Two-Tats"
0.02,0.7,0,20260902,800,26,3.3402,194,1,0.021381,1.063750,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.02,0.7,1,20260903,800,26,3.3123,203,1,0.020424,1.061273,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.02,0.7,2,20260904,800,26,3.3015,188,1,0.018815,1.056073,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.02,0.7,3,20260905,800,26,3.3178,211,1,0.018393,1.055178,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.02,0.7,4,20260906,800,26,3.3279,202,1,0.021257,1.063031,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.04,0.7,0,20260902,800,26,3.3402,193,1,0.043546,1.128286,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.04,0.7,1,20260903,800,26,3.3123,189,1,0.043205,1.128830,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.04,0.7,2,20260904,800,26,3.3015,188,1,0.037817,1.111960,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.04,0.7,3,20260905,800,26,3.3178,192,1,0.037785,1.112555,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.04,0.7,4,20260906,800,26,3.3279,201,1,0.040481,1.120333,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.06,0.7,0,20260902,800,26,3.3402,204,1,0.061789,1.181444,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.06,0.7,1,20260903,800,26,3.3123,181,1,0.065986,1.194815,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.06,0.7,2,20260904,800,26,3.3015,199,1,0.055887,1.162817,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
